#,Name,Start
M1,,1.1.62
M2,,3.2.65
M3,,5.3.70
M4,,7.4.79
M5,,10.1.90
M6,,12.2.93
M7,,14.4.17
M8,,17.1.61
M9,,19.2.83
M10,,21.3.96
M11,,24.1.01
M12,,26.1.97
M13,,28.2.98
M14,,30.4.00
M15,,33.1.14
M16,,35.2.31
M17,,37.3.35
M18,,39.4.55
M19,,42.1.87
M20,,44.3.05
M21,,46.4.33
M22,,49.1.52
M23,,51.2.74
M24,,53.3.93
M25,,56.1.22
M26,,58.2.54
M27,,60.3.66
M28,,62.4.96
M29,,65.2.27
M30,,67.3.47
M31,,69.4.77
M32,,72.2.00
M33,,74.3.20
M34,,76.4.43
M35,,79.1.62
M36,,81.3.02
M37,,83.4.34
M38,,86.1.52
M39,,88.2.76
M40,,90.3.98
M41,,93.1.14
M42,,95.2.31
M43,,97.3.59
M44,,99.4.81
M45,,102.1.95
M46,,104.3.28
M47,,106.4.45
M48,,109.1.55
M49,,111.2.69
